ImageA,ImageB,SSIM,PCC,MAE,E_dist,C_dist
image_1900_Nucleus.ome.tiff,image_1900_Nucleus.ome_fake_B.png,0.6836,0.3829,0.0499,98.7368,0.1686
image_1443_Nucleus.ome.tiff,image_1443_Nucleus.ome_fake_B.png,0.6303,0.4843,0.0650,63.6274,0.3356
image_1931_Nucleus.ome.tiff,image_1931_Nucleus.ome_fake_B.png,0.6948,0.4720,0.0558,97.4163,0.1635
image_401_Nucleus.ome.tiff,image_401_Nucleus.ome_fake_B.png,0.4273,0.2617,0.1336,232.8021,0.4528
image_2116_Nucleus.ome.tiff,image_2116_Nucleus.ome_fake_B.png,0.5549,0.2343,0.0885,140.1677,0.2290
image_1058_Nucleus.ome.tiff,image_1058_Nucleus.ome_fake_B.png,0.7212,0.0176,0.0998,70.9348,0.2522
image_1217_Nucleus.ome.tiff,image_1217_Nucleus.ome_fake_B.png,0.1104,-0.1838,0.1723,104.3287,0.3941
image_2211_Nucleus.ome.tiff,image_2211_Nucleus.ome_fake_B.png,0.5430,0.2867,0.0827,140.3656,0.2080
image_155_Nucleus.ome.tiff,image_155_Nucleus.ome_fake_B.png,0.6161,0.8458,0.0370,156.1729,0.1314
image_1519_Nucleus.ome.tiff,image_1519_Nucleus.ome_fake_B.png,0.7762,0.0912,0.0687,63.6804,0.2752
image_1222_Nucleus.ome.tiff,image_1222_Nucleus.ome_fake_B.png,0.7336,0.5080,0.0513,55.3615,0.3345
image_794_Nucleus.ome.tiff,image_794_Nucleus.ome_fake_B.png,0.6383,0.3668,0.0957,74.1971,0.2665
image_25_Nucleus.ome.tiff,image_25_Nucleus.ome_fake_B.png,0.5945,0.2069,0.0562,244.4926,0.5229
image_549_Nucleus.ome.tiff,image_549_Nucleus.ome_fake_B.png,0.6857,0.4006,0.0802,65.7364,0.2464
image_116_Nucleus.ome.tiff,image_116_Nucleus.ome_fake_B.png,0.4283,0.3755,0.1419,264.6919,0.3307
image_1657_Nucleus.ome.tiff,image_1657_Nucleus.ome_fake_B.png,0.7620,0.5761,0.0594,53.7485,0.1684
image_2151_Nucleus.ome.tiff,image_2151_Nucleus.ome_fake_B.png,0.6225,0.2694,0.0822,125.6040,0.2250
image_572_Nucleus.ome.tiff,image_572_Nucleus.ome_fake_B.png,0.0895,0.0487,0.1924,112.3715,0.4827
image_1556_Nucleus.ome.tiff,image_1556_Nucleus.ome_fake_B.png,0.7514,0.3339,0.0729,67.2319,0.2258
image_848_Nucleus.ome.tiff,image_848_Nucleus.ome_fake_B.png,0.7730,0.5334,0.0574,51.5672,0.2008
image_1513_Nucleus.ome.tiff,image_1513_Nucleus.ome_fake_B.png,0.6688,0.2035,0.1251,72.2807,0.1464
image_14_Nucleus.ome.tiff,image_14_Nucleus.ome_fake_B.png,0.5201,0.2417,0.0640,253.0203,0.4792
image_2388_Nucleus.ome.tiff,image_2388_Nucleus.ome_fake_B.png,0.7900,0.6851,0.0400,198.9121,0.2525
image_1985_Nucleus.ome.tiff,image_1985_Nucleus.ome_fake_B.png,0.6083,0.3456,0.0783,121.2171,0.2032
image_2220_Nucleus.ome.tiff,image_2220_Nucleus.ome_fake_B.png,0.5842,0.1909,0.0823,137.2095,0.2302
