ImageA,ImageB,SSIM,PCC,MAE,ECD
image_678_Nucleus.ome.tiff,image_678_Nucleus.ome_fake_B.png,0.4289,0.4839,0.0863,65.0117
image_608_Nucleus.ome.tiff,image_608_Nucleus.ome_fake_B.png,0.6381,0.0851,0.0777,78.6712
image_1530_Nucleus.ome.tiff,image_1530_Nucleus.ome_fake_B.png,0.5148,-0.0657,0.2108,162.2188
image_1732_Nucleus.ome.tiff,image_1732_Nucleus.ome_fake_B.png,0.5580,0.3482,0.0874,140.8786
image_81_Nucleus.ome.tiff,image_81_Nucleus.ome_fake_B.png,0.6825,0.5655,0.0487,103.3075
image_2452_Nucleus.ome.tiff,image_2452_Nucleus.ome_fake_B.png,0.8344,0.8136,0.0296,154.3801
image_1328_Nucleus.ome.tiff,image_1328_Nucleus.ome_fake_B.png,0.4619,0.2083,0.0692,56.8932
image_11_Nucleus.ome.tiff,image_11_Nucleus.ome_fake_B.png,0.7358,0.1505,0.0446,212.6220
image_565_Nucleus.ome.tiff,image_565_Nucleus.ome_fake_B.png,0.6576,0.6768,0.0399,37.9400
image_374_Nucleus.ome.tiff,image_374_Nucleus.ome_fake_B.png,0.4253,0.3187,0.0411,110.0765
image_1620_Nucleus.ome.tiff,image_1620_Nucleus.ome_fake_B.png,0.7065,0.0425,0.0584,66.8787
image_462_Nucleus.ome.tiff,image_462_Nucleus.ome_fake_B.png,0.5796,0.3856,0.0497,53.8644
image_248_Nucleus.ome.tiff,image_248_Nucleus.ome_fake_B.png,0.5343,0.4574,0.1215,376.7389
image_1212_Nucleus.ome.tiff,image_1212_Nucleus.ome_fake_B.png,0.6428,0.2370,0.0598,65.4432
image_82_Nucleus.ome.tiff,image_82_Nucleus.ome_fake_B.png,0.6878,0.5893,0.0488,88.0611
image_2021_Nucleus.ome.tiff,image_2021_Nucleus.ome_fake_B.png,0.6711,0.6134,0.0508,100.3088
image_1667_Nucleus.ome.tiff,image_1667_Nucleus.ome_fake_B.png,0.6551,0.0722,0.0777,76.1081
image_1611_Nucleus.ome.tiff,image_1611_Nucleus.ome_fake_B.png,0.6958,0.2276,0.0788,66.0116
image_2183_Nucleus.ome.tiff,image_2183_Nucleus.ome_fake_B.png,0.5623,0.3565,0.0793,139.0309
image_99_Nucleus.ome.tiff,image_99_Nucleus.ome_fake_B.png,0.6538,0.1193,0.0989,255.0947
image_2120_Nucleus.ome.tiff,image_2120_Nucleus.ome_fake_B.png,0.5842,0.3914,0.0669,124.1219
image_107_Nucleus.ome.tiff,image_107_Nucleus.ome_fake_B.png,0.6700,-0.0646,0.0886,241.7706
image_1401_Nucleus.ome.tiff,image_1401_Nucleus.ome_fake_B.png,0.7936,0.7058,0.0616,44.6831
image_1046_Nucleus.ome.tiff,image_1046_Nucleus.ome_fake_B.png,0.7181,0.1253,0.0583,64.3775
image_2543_Nucleus.ome.tiff,image_2543_Nucleus.ome_fake_B.png,0.6011,0.2486,0.0416,193.4927
image_811_Nucleus.ome.tiff,image_811_Nucleus.ome_fake_B.png,0.7323,0.3437,0.0823,80.1095
image_1576_Nucleus.ome.tiff,image_1576_Nucleus.ome_fake_B.png,0.7248,0.1707,0.0605,65.4194
image_518_Nucleus.ome.tiff,image_518_Nucleus.ome_fake_B.png,0.8272,0.5996,0.0499,52.3454
image_570_Nucleus.ome.tiff,image_570_Nucleus.ome_fake_B.png,0.6922,0.3034,0.0655,69.5451
image_150_Nucleus.ome.tiff,image_150_Nucleus.ome_fake_B.png,0.4044,0.7573,0.0599,221.1652
image_46_Nucleus.ome.tiff,image_46_Nucleus.ome_fake_B.png,0.1668,-0.0243,0.1458,221.3178
image_594_Nucleus.ome.tiff,image_594_Nucleus.ome_fake_B.png,0.6723,-0.0409,0.0636,63.6988
image_873_Nucleus.ome.tiff,image_873_Nucleus.ome_fake_B.png,0.6713,0.1236,0.0676,72.2729
image_363_Nucleus.ome.tiff,image_363_Nucleus.ome_fake_B.png,0.7348,0.4490,0.0316,105.1132
image_448_Nucleus.ome.tiff,image_448_Nucleus.ome_fake_B.png,0.7420,0.4638,0.0524,59.2072
image_2002_Nucleus.ome.tiff,image_2002_Nucleus.ome_fake_B.png,0.5859,0.4388,0.0720,112.7933
image_302_Nucleus.ome.tiff,image_302_Nucleus.ome_fake_B.png,0.3125,0.2324,0.1921,275.9527
image_1239_Nucleus.ome.tiff,image_1239_Nucleus.ome_fake_B.png,0.7725,-0.0159,0.0513,62.4836
image_1013_Nucleus.ome.tiff,image_1013_Nucleus.ome_fake_B.png,0.5654,0.3476,0.0921,84.3977
image_1170_Nucleus.ome.tiff,image_1170_Nucleus.ome_fake_B.png,0.6674,0.0504,0.0662,66.3780
image_1235_Nucleus.ome.tiff,image_1235_Nucleus.ome_fake_B.png,0.0673,0.1421,0.1790,99.8543
image_2561_Nucleus.ome.tiff,image_2561_Nucleus.ome_fake_B.png,0.6087,0.5700,0.0390,201.0763
image_1596_Nucleus.ome.tiff,image_1596_Nucleus.ome_fake_B.png,0.3507,0.3348,0.3150,166.0980
image_2198_Nucleus.ome.tiff,image_2198_Nucleus.ome_fake_B.png,0.6568,0.4453,0.0589,109.9871
image_172_Nucleus.ome.tiff,image_172_Nucleus.ome_fake_B.png,0.8147,0.7193,0.0285,164.0628
image_1745_Nucleus.ome.tiff,image_1745_Nucleus.ome_fake_B.png,0.6407,0.5117,0.0594,106.8766
image_853_Nucleus.ome.tiff,image_853_Nucleus.ome_fake_B.png,0.6224,0.1677,0.0798,75.6813
image_786_Nucleus.ome.tiff,image_786_Nucleus.ome_fake_B.png,0.7384,0.4038,0.0685,60.1556
image_1048_Nucleus.ome.tiff,image_1048_Nucleus.ome_fake_B.png,0.6971,0.1864,0.0834,72.1013
image_340_Nucleus.ome.tiff,image_340_Nucleus.ome_fake_B.png,0.6196,0.5230,0.0294,93.5841
image_1376_Nucleus.ome.tiff,image_1376_Nucleus.ome_fake_B.png,0.7537,0.5360,0.0632,62.3674
image_2438_Nucleus.ome.tiff,image_2438_Nucleus.ome_fake_B.png,0.8567,0.6269,0.0241,158.2433
image_1284_Nucleus.ome.tiff,image_1284_Nucleus.ome_fake_B.png,0.1573,0.0676,0.1478,91.8682
image_761_Nucleus.ome.tiff,image_761_Nucleus.ome_fake_B.png,0.5895,0.2607,0.0689,65.3035
image_1462_Nucleus.ome.tiff,image_1462_Nucleus.ome_fake_B.png,0.7981,0.6464,0.0374,45.5110
image_2153_Nucleus.ome.tiff,image_2153_Nucleus.ome_fake_B.png,0.5533,0.3568,0.0830,138.2829
image_606_Nucleus.ome.tiff,image_606_Nucleus.ome_fake_B.png,0.7157,0.5547,0.0628,55.4794
image_1855_Nucleus.ome.tiff,image_1855_Nucleus.ome_fake_B.png,0.4889,0.2693,0.0974,137.2400
